,url,abstract,lead_paragraph
10,https://www.nytimes.com/2023/11/28/us/politics/israel-gaza-war-military.html,American officials have told the Israelis that a major bombardment risks sparking a humanitarian crisis that overwhelms the world’s capacity to respond.,"The United States has warned Israel that it must fight more surgically and avoid further mass displacement of Palestinians in its war against Hamas to avoid a humanitarian crisis that overwhelms the world’s ability to respond, according to senior Biden administration officials."
11,https://www.nytimes.com/2023/11/27/world/middleeast/israel-gaza-hamas-hostages.html,"The extension, and another exchange of hostages and prisoners, raised hopes that more people would be set free and more humanitarian aid would reach people in the Gaza Strip.","Israel and Hamas agreed on Monday to extend by two days a cease-fire that has brought a measure of calm to the Gaza Strip after seven weeks of intense warfare, the Qatari government said. The two sides struck a deal to exchange more hostages and prisoners and allow more aid into the beleaguered territory."
12,https://www.nytimes.com/video/world/middleeast/100000009196325/israel-hostages-released-families-reunited.html,Footage released by the Schneider children’s hospital in Israel on Friday shows women and children who had been held hostage by Hamas reuniting with loved ones.,Footage released by the Schneider children’s hospital in Israel on Friday shows women and children who had been held hostage by Hamas reuniting with loved ones.
13,https://www.nytimes.com/2023/11/26/briefing/hamas-israel-prisoners-hostages-australia-fires-unvaccinated-children.html,Plus an unusual mental health plan in Africa.,"Hamas released 17 more hostages yesterday, including one American — Avigail Idan, who turned 4 on Friday, nearly seven weeks after her parents were killed in the Oct. 7 cross-border assault on southern Israel."
14,https://www.nytimes.com/2023/11/23/world/europe/israel-hamas-ceasefire.html,"Prodded by the U.S., Israel agreed to the pause in hostilities and the release of 150 imprisoned Palestinians in exchange for 50 hostages held in Gaza.",Follow live news updates on the Israel-Hamas war.
15,https://www.nytimes.com/video/business/dealbook/100000009201769/dealbook-summit-herzog-israel.html,"President Isaac Herzog of Israel said that in order “to change the equation” in the Middle East, Israel has to “uproot” Hamas.","President Isaac Herzog of Israel said that in order “to change the equation” in the Middle East, Israel has to “uproot” Hamas."
16,https://www.nytimes.com/video/world/middleeast/100000009201338/israel-hamas-hostage-experience-conditions.html,"Yafa Adar, 85, was among the first group of Israeli hostages to be released by Hamas on Nov. 24. Now her son, Moshe Adar, who survived the Oct. 7 attack on Kibbutz Nir Oz, tells The Times about his mother’s nearly 50 days spent in captivity.","Yafa Adar, 85, was among the first group of Israeli hostages to be released by Hamas on Nov. 24. Now her son, Moshe Adar, who survived the Oct. 7 attack on Kibbutz Nir Oz, tells The Times about his mother’s nearly 50 days spent in captivity."
17,https://www.nytimes.com/video/world/middleeast/100000009204510/blinken-israel-defense.html,Secretary of State Antony J. Blinken urged Israel to put in place protections for civilians in Gaza before resuming its offensive against Hamas.,Secretary of State Antony J. Blinken urged Israel to put in place protections for civilians in Gaza before resuming its offensive against Hamas.
18,https://www.nytimes.com/2023/11/24/world/middleeast/israel-hostages-return-home.html,The return of 13 Israeli hostages out of more than 200 provided a glimmer of hope for a nation still traumatized by the Hamas assault of Oct. 7.,Israelis waited all day Friday in nervous anticipation for a piece of good news and ray of light after seven weeks of collective mourning and trauma.
19,https://www.nytimes.com/2023/11/29/arts/hunter-college-film-israel.html,"Hunter’s cancellation of a screening of the documentary “Israelism” had caused an outcry among faculty members and students, who said it was a violation of academic freedom.","Hunter College has agreed to reschedule a screening of a documentary critical of Israel, following an outcry from faculty members and students who claimed that the administration’s earlier decision to cancel it violated academic freedom."
20,https://www.nytimes.com/2023/11/26/world/middleeast/israel-hamas-netanyahu-gaza.html,"On the third day of a pause in fighting that was expected to continue until Tuesday, Mr. Netanyahu vowed to fight on “until victory.”","Prime Minister Benjamin Netanyahu of Israel visited his country’s troops in the Gaza Strip on Sunday, three days into a pause in fighting there, and vowed that “we are continuing until the end — until victory.”"
21,https://www.nytimes.com/2023/11/29/us/politics/israel-aid-senate.html,"Democrats are clashing with each other and the Biden administration over whether to attach conditions, including measures to avoid civilian casualties, to security assistance.","Democrats in Congress are clashing with each other and the Biden administration over a push from the left that would attach conditions to an emergency infusion of security aid for Israel during its war with Hamas, the latest reflection of a growing rift within the party over support for the Jewish state."
22,https://www.nytimes.com/2023/11/27/nyregion/hillcrest-high-school-jewish-teacher-protest.html,The New York schools chancellor promised disciplinary action but also called for understanding students’ viewpoint after hundreds at a Queens high school protested against a Jewish teacher.,"New York City officials are investigating after hundreds of Queens high school students protested against a pro-Israel teacher, who was moved to another part of the building during the demonstration, the schools chancellor said Monday."
23,https://www.nytimes.com/2023/11/22/world/middleeast/israel-hostage-deal-families.html,"Hours after the cease-fire deal was announced, some relatives of hostages held in Gaza said they had received no official information from the Israeli authorities.",The deal for a hostage release brought both hope and agony on Wednesday to families of captives held in Gaza.
24,https://www.nytimes.com/2023/11/22/podcasts/israel-hamas-hostages.html,"Plus, the founder of Binance pleads guilty to money laundering violations, and why Thanksgiving weekend travel is expected to be the busiest in 20 years.","The New York Times Audio app is home to journalism and storytelling, and provides news, depth and serendipity. If you haven’t already, download it here — available to Times news subscribers on iOS — and sign up for our weekly newsletter."
25,https://www.nytimes.com/2023/11/28/podcasts/israel-hamas-cease-fire.html,"Plus, how money is flowing out of China and scientists are one step closer to a drug extending the lives of dogs.","The New York Times Audio app is home to journalism and storytelling, and provides news, depth and serendipity. If you haven’t already, download it here — it’s available to Times news subscribers on iOS — and sign up for our weekly newsletter."
26,https://www.nytimes.com/2023/11/23/nyregion/thanksgiving-israel-war-jewish-families.html,"Even families that are used to arguing over dinner are feeling new tension this year, as members from different generations disagree about supporting Israel.","There will be turkey at Marci Rosa’s family Thanksgiving in New Jersey, and stuffing and sweet potato and leek gratin. But also kasha varnishkes, a Jewish grain dish with roots in Eastern Europe, where her in-laws survived the Holocaust."
27,https://www.nytimes.com/2023/11/26/world/middleeast/freed-israeli-hostages-captivity.html,"Two days after the first batch of hostages was released, relatives who have spoken or met with them said they seemed to have been totally cut off from the outside world.",A mother released from captivity in Gaza with her young son told relatives that they had slept on chairs pushed together. An 85-year-old grandmother from a different family described counting the days to keep track of time.
28,https://www.nytimes.com/2023/11/21/nyregion/new-york-coffee-shop-israel.html,"When the owner of a New York City coffee shop said his workers had quit over his support of Israel, customers and Instagram influencers flocked to it.","For several days this month, New Yorkers stood in a line that snaked down Lexington Avenue and around the corner of East 71st Street, waiting up to 90 minutes to order a drink at Caffè Aronne. Members of the city’s Jewish community, spurred by messages on social media, turned out in droves to support a coffee shop owner who had said that his employees had walked out to protest the company’s support for Israel during the war with Hamas."
29,https://www.nytimes.com/2023/11/29/world/middleeast/israeli-raid-two-children-dead-jenin.html,"Two children, ages 8 and 15, and two members of armed groups were killed in a raid in Jenin, according to the Palestinian health ministry and a camp official.","Two children were shot dead by Israeli soldiers during a raid in the city of Jenin in the northern West Bank, on Wednesday, the Palestinian health ministry and a local official said."
30,https://www.nytimes.com/2023/11/21/world/middleeast/israel-hamas-prisoners-deal.html,The agreement calls for a pause in the fighting and for Hamas to free 50 of the captives it seized in its Oct. 7 raid on Israel. Hamas said Israel would release 150 Palestinians held in Israeli prisons.,"After more than six weeks of war, the Israeli government and Hamas announced Wednesday morning that they would uphold a brief cease-fire in Gaza to allow for the release of 50 hostages Hamas captured during its assault last month on Israel."
31,https://www.nytimes.com/2023/11/24/world/middleeast/israel-hamas-cease-fire-history.html,"In 2014, nine truces came and went during a 51-day conflict and more than 2,000 people were killed before there was a lasting agreement to halt the fighting.","Israel and Hamas have agreed to a four-day truce — but if the past is any indication, there is no guarantee that the pause in fighting will hold, much less lead to lasting peace."
32,https://www.nytimes.com/2023/11/22/opinion/israelis-palestinians-peace.html,The columnist on a possible path to resolution.,Prime Minister Benjamin Netanyahu’s vision for Israel after the war would push out the Palestinian Authority. But Thomas Friedman argues in this audio essay that any hope of peace requires a Palestinian-led governing authority — especially to avoid Israel controlling Palestinians in the Gaza Strip and the West Bank “in perpetuity.”
33,https://www.nytimes.com/2023/11/22/world/middleeast/hamas-tunnel-al-shifa-hospital-gaza.html,"Israeli and American officials have said that Hamas uses hospitals for cover. Hamas and administrators of Al-Shifa, Gaza’s largest hospital, have denied the claims.","The Israeli military sought on Wednesday to bolster its assertions that Hamas uses tunnels beneath Gaza’s largest hospital, releasing a series of videos that it said showed “dozens of meters of a tunnel system” beneath the complex of Al-Shifa Hospital."
34,https://www.nytimes.com/2023/11/22/world/middleeast/truce-israel-dispute-hamas.html,"For weeks, senior Israeli leaders were divided about whether a temporary cease-fire might help Hamas regroup and endanger the remaining hostages.","The Israeli decision on Wednesday to pause the invasion of Gaza to allow Hamas to release some hostages, a move now strongly supported by Prime Minister Benjamin Netanyahu, was the culmination of a weekslong dispute among Israel’s civilian and military leaders about whether such a deal would strengthen Hamas and endanger the remaining hostages."
35,https://www.nytimes.com/2023/11/18/world/middleeast/israel-hamas-gaza-war-strategy.html,"Israel is making progress in ground control of Gaza, but it has not vanquished Hamas or freed most of the hostages. And international condemnation of civilian casualties is growing.","The Israeli military’s seizure of Al-Shifa Hospital, Gaza’s largest medical complex, is central to the military strategy at the heart of the ground invasion: Eradicate Hamas and free roughly 240 hostages taken during the Oct. 7 surprise attack."
36,https://www.nytimes.com/2023/11/23/world/middleeast/israel-hamas-hostage-deal-cease-fire-explained.html,"Officials in Qatar, which helped broker the deal, said 13 hostages were expected to be released on Friday. An Israeli official said Palestinians in Israel’s custody would be freed first.","A deal between Israel and Hamas for a temporary cease-fire appeared to take effect on Friday. Here is a closer look at the agreement, mediated in part by Qatar, and how it is expected to play out."
37,https://www.nytimes.com/2023/11/25/world/middleeast/israel-hostages-released-saturday.html,A second group of 13 included six members of an extended family.,"Hamas released a second group of 13 Israeli hostages on Saturday as part of a cease-fire deal, a day after it released another 13."
38,https://www.nytimes.com/video/world/middleeast/100000009191628/israel-hamas-hostage-deal-optimism.html,"Sheffa Phillips-Bahat has two young cousins who were taken hostage from their home at Kibbutz Nir Oz. More than a month after they were kidnapped, she “can’t think of anything but getting the hostages back.”","Sheffa Phillips-Bahat has two young cousins who were taken hostage from their home at Kibbutz Nir Oz. More than a month after they were kidnapped, she “can’t think of anything but getting the hostages back.”"
39,https://www.nytimes.com/2023/11/21/world/middleeast/brics-summit-israel-gaza-war.html,"They called for the release of all civilians who are being illegally held captive, as well as a humanitarian truce that would lead to a cessation of hostilities.","The BRICS group of developing countries — Brazil, Russia, India, China and South Africa — held a virtual summit on the war in Gaza on Tuesday, articulating divergent positions on the conflict that together reflected the reluctance of some nations outside the world’s largest industrialized democracies to fall in behind Washington’s support for Israel."
40,https://www.nytimes.com/2023/11/29/world/middleeast/avigail-idan-israeli-hostage.html,"Avigail Idan shared one piece of pita bread per day with four others, and did not have a shower or bath during her 50 days in captivity, her aunt said.","An aunt of Avigail Idan, the girl who was taken hostage by Hamas after she saw her parents brutally killed and who turned 4 a few days before being released, says that her niece shared one piece of pita bread per day with four others, and did not have a shower or bath during her 50 days in captivity."
41,https://www.nytimes.com/2023/11/27/world/middleeast/elon-musk-israel-visit.html,"Alongside Prime Minister Benjamin Netanyahu of Israel, Mr. Musk toured an Israeli village where dozens of people were killed in the Hamas-led Oct. 7 attacks.",Follow live news updates on the Israel-Hamas war.
42,https://www.nytimes.com/2023/11/21/world/middleeast/abu-toha-palestinian-poet-gaza.html,Mosab Abu Toha was detained by Israeli troops as his family was evacuating to southern Gaza. A number of other Palestinians detained under similar circumstances remain in custody.,"A celebrated Palestinian poet and essayist who founded the Gaza Strip’s first English-language library was released by Israel on Tuesday, two days after he was detained as his family was fleeing to southern Gaza on foot."
43,https://www.nytimes.com/2023/11/21/opinion/ezra-klein-podcast-aaron-david-miller.html,Aaron David Miller offers insights and lessons from decades of negotiating for peace in the Middle East.,"It is too early to talk about a peace deal between Israel and the Palestinians. With the trauma of Oct. 7 still fresh for the Israeli public and with the ongoing devastation in Gaza, any talk of conflict-ending solutions is cruel fantasy."
44,https://www.nytimes.com/video/world/middleeast/100000009193157/israel-hostage-deal-families.html,Families and friends of Israelis taken captive by Hamas are hopeful that the hostages will be returned after Hamas and Israel announced a cease-fire.,Families and friends of Israelis taken captive by Hamas are hopeful that the hostages will be returned after Hamas and Israel announced a cease-fire.
45,https://www.nytimes.com/2023/11/22/us/politics/biden-thanksgiving.html,"President Biden and Jill Biden arrived late Tuesday on Nantucket island, where they will spend Thanksgiving in a billionaire friend’s $34 million home.", Workers swept wet leaves off the cobblestone streets around blustery downtown Nantucket on Wednesday morning as the island prepared for a shopping run by its most famous annual visitor: President Biden.
46,https://www.nytimes.com/2023/11/22/us/politics/israel-pause-humanitarian-aid-gaza.html,President Biden and his aides are trying to get Israel to take measures that would reduce Palestinian civilian deaths and restore services.,"President Biden and his aides are using an agreement for a brief halt to hostilities in Gaza to push the Israeli government to take broad measures aimed at lessening the harm to Palestinian civilians, including setting up safe areas, allowing in more medical aid and permitting larger deliveries of fuel, U.S. officials say."
47,https://www.nytimes.com/2023/11/16/world/middleeast/israel-gaza-al-shifa-hospital-hamas.html,"The Israeli military said troops had uncovered a Hamas tunnel shaft underneath the Al-Shifa Hospital complex, as well as a vehicle on the hospital grounds packed with weapons.",Follow live news updates on the Israel-Hamas war.
48,https://www.nytimes.com/2023/11/21/world/middleeast/israel-hamas-hostages-families.html,Families don’t yet know if their loved ones will be returned when the planned cease-fire takes effect.,"As Israel and Hamas indicated that they were preparing a cease-fire to free 50 hostages, some families of those abducted to Gaza last month were grappling with conflicting emotions: a growing optimism that their loved ones would return that was chilled by a gnawing fear that the deal might collapse — or worse, that they might be left behind."
49,https://www.nytimes.com/2023/11/17/us/politics/obama-biden-letter-israel.html,"The letter drew 137 signatures, fewer than an earlier letter of dissent from Biden administration officials. Organizers say the new letter should carry more weight because it is not anonymous.","More than 100 former members of the Obama and Biden administrations have sent a letter to the White House praising President Biden’s “moral clarity, courageous leadership and staunch support of Israel,” in an effort to defend Mr. Biden’s policies amid roiling dissent within the administration."
50,https://www.nytimes.com/2023/11/30/world/middleeast/jerusalem-shooting.html,Israel’s Shin Bet security service said the gunmen were Palestinian brothers from East Jerusalem who were affiliated with Hamas.,"At least three people were killed and six others wounded when two Palestinian gunmen affiliated with Hamas opened fire near a bus stop on the outskirts of Jerusalem on Thursday morning, according to the Israeli authorities."
51,https://www.nytimes.com/2023/11/17/podcasts/israeli-army-escorts-journalists-to-gaza-hospital-and-more.html,"Plus, George Santos won’t seek re-election and Sean Combs is accused of rape in a lawsuit.","The New York Times Audio app is home to journalism and storytelling, and provides news, depth and serendipity. If you haven’t already, download it here — it’s available to Times news subscribers on iOS — and sign up for our weekly newsletter."
52,https://www.nytimes.com/2023/11/16/us/biden-china-talks.html,"Plus, scant progress in Biden-Xi talks and opposition to the deal between G.M. and the autoworkers’ union.","The New York Times Audio app is home to journalism and storytelling, and provides news, depth and serendipity. If you haven’t already, download it here — available to Times news subscribers on iOS — and sign up for our weekly newsletter."
53,https://www.nytimes.com/2023/11/21/world/israel-lebanon-al-mayadeen-journalists-killed.html,The Lebanese military and Lebanon’s caretaker prime minister blamed Israel for the attack as the Israeli military said the episode was under review.,"As cross-border clashes intensified between Israel and the armed group Hezbollah, three people, including two television journalists, were killed in an Israeli strike on Tuesday in southern Lebanon, Lebanese officials said."
54,https://www.nytimes.com/2023/11/17/world/middleeast/israel-gaza-tunnel-hamas.html,"The discovery at Al-Shifa Hospital did not seem to settle the question of whether Hamas has been using the complex to hide weapons and command centers, as Israel has said.","Israeli forces on Friday probed further into civilian infrastructure in northern Gaza for signs of a Hamas presence, announcing that they had found weapons at a school and guiding international reporters to a tunnel shaft on the grounds of the territory’s largest hospital."
55,https://www.nytimes.com/2023/11/15/world/middleeast/al-shifa-hospital-israel.html,A raid of a hospital that Israel asserts is a base for Hamas is shaping up as a watershed moment in a conflict that has put the Mideast on edge.,"Since Israel’s ground troops invaded Gaza 19 days ago, the fate of its war has become largely entwined with the fate of the territory’s largest hospital."
56,https://www.nytimes.com/2023/11/25/world/middleeast/israel-hostages-families.html,"The return to a normal life will be a long process, doctors say.","The 13 Israeli hostages freed on Friday after being abducted in the Hamas-led surprise attack last month have begun reuniting with their families, ending nearly seven weeks of uncertainty and fear over their fates in Gaza."
57,https://www.nytimes.com/2023/11/22/opinion/bernie-sanders-israel-gaza.html,How do we balance our desire to stop the fighting with the need to address the roots of the conflict?,"There have been five wars in the last 15 years between Israel and Hamas. How do we end the current one and prevent a sixth from happening, sooner or later? How do we balance our desire to stop the fighting with the need to address the roots of the conflict? For 75 years, diplomats, well-intentioned Israelis and Palestinians and government leaders around the world have struggled to bring peace to this region. In that time an Egyptian president and an Israeli prime minister were assassinated by extremists for their efforts to end the violence."
58,https://www.nytimes.com/2023/11/24/world/middleeast/released-hostages-israel-gaza-hamas.html,"The first group of 13 Israeli hostages — all women and children — were handed over to Israeli officials on Friday, joining five others released or rescued earlier in the fighting.","After nearly seven weeks in captivity, 13 Israeli hostages abducted by Hamas and other groups during the Oct. 7 attacks on Israel were released on Friday as part of a deal that paused the fighting in the Gaza Strip."
59,https://www.nytimes.com/2023/11/20/world/middleeast/israel-hamas-hostage-negotiations.html,"After more than six weeks of war, the two sides said they had agreed to a four-day cease-fire to allow for the release of 50 of the hostages Hamas captured on Oct. 7.","After weeks of negotiations, officials from Israel and Hamas said early Wednesday that they had reached an agreement for a brief cease-fire in Gaza and the release of 50 of the about 240 hostages taken by the armed group on Oct. 7."
60,https://www.nytimes.com/2023/11/14/us/march-for-israel-washington-dc-rally.html,The rally was a response to large protests across the United States and the world denouncing the Israeli military campaign in Gaza.,Demonstrators from across the United States gathered on Tuesday on the National Mall in Washington in a vast show of solidarity with Israel as it wages war in the Gaza Strip in response to the Oct. 7 attack by Hamas.
61,https://www.nytimes.com/2023/11/15/podcasts/israeli-troops-enter-gaza-hospital-and-more.html,"Plus, Biden and Xi Jinping prepare to meet and the House passes a plan to avoid a shutdown.","The New York Times Audio app is home to journalism and storytelling, and provides news, depth and serendipity. If you haven’t already, download it here — available to Times news subscribers on iOS — and sign up for our weekly newsletter."
62,https://www.nytimes.com/2023/11/12/opinion/israel-gaza-war-crimes.html,The Netanyahu government falls short on most benchmarks of whether its actions in Gaza meet the standard.,Israel’s response to the horrifying Hamas attack on Oct. 7 has caused widespread protest among its critics and soul-searching among some of its supporters. The deaths of thousands of Palestinian civilians in a ferocious bombing campaign and an increasingly intense ground war in the Gaza Strip cry out for a careful examination of the moral basis for Israel’s actions.
63,https://www.nytimes.com/2023/11/28/world/middleeast/hostages-hamas-israel-captivity.html,"‘Everything is just so fragile,’ said a cousin of the first two hostages freed last month.","Hostages freed by Hamas are experiencing bursts of euphoria followed by emotional crashes as they emerge from weeks of paralyzing fear in captivity, according to Israeli relatives who spoke to journalists at the Israeli Embassy in London on Tuesday."
64,https://www.nytimes.com/2023/11/15/world/middleeast/israel-hamas-hostage-deal.html,"Under the proposed agreement, Hamas would release 50 women and children abducted during the Oct. 7 terrorist attacks for roughly the same number of Palestinian women and children held in Israeli prisons.","Israel believes that Wednesday’s raid on Al-Shifa Hospital will put pressure on Hamas to finish a deal to trade dozens of Israeli captives for Palestinian prisoners, according to two senior Israeli officials."
65,https://www.nytimes.com/2023/11/24/world/middleeast/israel-hamas-hostage-deal.html,"Hamas freed two dozen hostages, Israel released 39 imprisoned Palestinians, and more than 130 aid trucks reached Gaza over the first day of a tense, temporary truce after seven weeks of war.","Hamas freed two dozen hostages held in Gaza and Israel released nearly 40 imprisoned Palestinians on Friday, completing the first exchange in a tense, temporary truce that halted the fighting after seven weeks of war."
66,https://www.nytimes.com/2023/11/30/us/politics/bernie-sanders-israel-cease-fire.html,"The progressive disappointment with the Vermont senator, a liberal icon, reflects a broader divide among Democrats over the war.","On a Democratic primary debate stage in Brooklyn in 2016, Senator Bernie Sanders caused a ruckus within his party when he rebuked Hillary Clinton for not mentioning Palestinian rights in a speech she made to a pro-Israel lobbying group."
67,https://www.nytimes.com/2023/11/15/world/middleeast/israel-gaza-war-rhetoric.html,Experts say that inflammatory statements by prominent Israelis are normalizing ideas like the killing of civilians and mass deportations.,"Shock, grief and pain have cascaded across Israel since Hamas gunmen poured out of Gaza to kill an estimated 1,200 Israeli civilians and soldiers on Oct. 7. So have anger and a thirst for vengeance, which the country’s leaders are verbalizing in language that critics in Israel say often crosses the line into incitement."
68,https://www.nytimes.com/2023/11/14/world/middleeast/israel-gaza-al-shifa-hospital.html,"Israel said Palestinian militants had misfired projectiles, but an analysis of photos and videos of Friday’s strikes shows that some of the munitions were likely fired by Israeli forces.","Minutes after 1 a.m. Friday, as active fighting raged between Israeli forces and Hamas militants, a projectile streaked over Gaza’s largest medical complex and crashed into the center of the courtyard of Al-Shifa Hospital, a place where thousands of displaced Gazans had sought shelter."
69,https://www.nytimes.com/2023/11/20/world/middleeast/israelis-palestinians-conflict.html,"In a conflict marked by complete incomprehension on both sides, the ability to see each other as human has been lost.","Eight years after the foundation of the state of Israel, Moshe Dayan, the chief of staff of the Israeli military, stood close to the Gaza border to pronounce a eulogy for a 21-year-old Israeli security officer slain by Palestinian and Egyptian assailants."
70,https://www.nytimes.com/2023/11/16/world/middleeast/israel-opposition-lapid-netanyahu.html,Yair Lapid says that he would join a coalition without Prime Minister Benjamin Netanyahu.,Follow live news updates on the Israel-Hamas war.
71,https://www.nytimes.com/2023/11/22/us/politics/hostages-biden.html,"The agreement between Israel and Hamas required painful negotiations, but if carried out successfully, it could lead to the release of more hostages and extend the temporary cease-fire.","When it was all said and done, the deal to release some of the hostages held by Hamas came down to two critical phone calls ultimately forcing each side to make a tough concession."
72,https://www.nytimes.com/2023/11/14/world/middleeast/israel-gaza-hamas-hospital.html,The operation at the main hospital complex in Gaza came after Israel released videos showing what it said were weapons inside a children’s hospital in the enclave.,"The Israeli military said early Wednesday that its troops were carrying out “a precise and targeted operation” at Gaza’s largest hospital, a complex of buildings where thousands of Palestinian refugees had taken shelter, as part of the campaign “to defeat Hamas and rescue our hostages.”"
73,https://www.nytimes.com/2023/11/10/briefing/israel-gaza-hamas-strategy.html,"The country has slowed down to protect its troops and consult allies. But as outrage over the war grows, it’s running out of time to defeat Hamas.","The invasion seemed imminent. In the hours after Hamas attacked Israel on Oct. 7, Benjamin Netanyahu appeared ready to send his troops storming into Gaza. Instead, he chose a different strategy."
74,https://www.nytimes.com/2023/11/14/podcasts/bidens-israel-gaza.html,"Plus, an ethics code for the Supreme Court and a new report on climate change.","The New York Times Audio app is home to journalism and storytelling, and provides news, depth and serendipity. If you haven’t already, download it here — available to Times news subscribers on iOS — and sign up for our weekly newsletter."
75,https://www.nytimes.com/2023/11/24/world/middleeast/gaza-israel-return-home.html,"Israel had warned Gazans not to move from the south to the north during the cessation of hostilities, feeding their fears of permanent displacement.","When the cease-fire in Gaza took effect early Friday morning, Palestinians across the Gaza Strip prepared to go back to the homes they fled to see if they were still intact, to check on relatives left behind and in some cases, to finally bury their dead."
76,https://www.nytimes.com/2023/11/12/us/politics/chris-christie-israel-hamas.html,The former New Jersey governor and chief G.O.P. antagonist to the former president cited Mr. Trump’s rhetoric of intolerance and faulted him for a lack of ambition on the Israeli-Palestinian conflict.,"Chris Christie, the former governor of New Jersey who is challenging Donald J. Trump for the Republican presidential nomination, said Mr. Trump’s rhetoric of intolerance — as evident today as it was during his presidency — had fueled the surge of bigotry confronting Jews and Muslims after Hamas’s brutal Oct. 7 attack on Israel and the fierce Israeli response in Gaza."
77,https://www.nytimes.com/2023/11/13/us/politics/democratic-aides-congress-israel-hamas.html,"A wave of current and former staff members, mostly of a younger generation, are agitating for a cease-fire and speaking out against their bosses’ positions.","The carnations arrived by the wheelbarrow. Blood-red, pink, orange and yellow, more than 10,000 stems were laid on the steps at the base of the Capitol against a clear blue sky."
78,https://www.nytimes.com/2023/11/21/world/middleeast/hamas-hostages-health.html,Many of the more than 200 people seized by Hamas when it raided Israel had serious medical conditions. Some were badly injured in the attack. Doctors say they need medical care urgently.,"When armed Hamas terrorists invaded her home on Oct. 7, Karina Engelbert was still recovering from a double mastectomy and breast reconstruction surgery that had gone terribly awry. She was weak and easily fatigued, and a buildup of painful scar tissue on her chest caused tightness, limiting her mobility."
